Слово,Частота,Процент
роль,40,0.007113349445069826
старой,32,0.005690679556055862
пиесы,4,0.0007113349445069827
напротив,104,0.01849470855718155
несмотря,287,0.051038282268376006
свои,325,0.05779596424119234
сорок,9,0.001600503625140711
лет,119,0.021162214599082733
была,985,0.17516623008484447
преисполнена,2,0.00035566747225349135
оживления,8,0.0014226698890139654
порывов,3,0.000533501208380237
энтузиасткой,2,0.00035566747225349135
сделалось,35,0.006224180764436098
общественным,1,0.00017783373612674568
положением,19,0.0033788409864081675
иногда,138,0.0245410555854909
хотелось,94,0.016716371195914095
обмануть,16,0.002845339778027931
ожиданий,1,0.00017783373612674568
людей,484,0.0860715282853449
знавших,5,0.0008891686806337283
делалась,1,0.00017783373612674568
сдержанная,2,0.00035566747225349135
улыбка,57,0.010136522959224502
игравшая,2,0.00035566747225349135
постоянно,59,0.010492190431477994
лице,189,0.03361057612795493
анны,65,0.011559192848238468
павловны,47,0.008358185597957047
хотя,253,0.04499193524006665
шла,39,0.006935515708943081
отжившим,1,0.00017783373612674568
чертам,2,0.00035566747225349135
выражала,7,0.0012448361528872196
избалованных,1,0.00017783373612674568
детей,46,0.0081803518618303
постоянное,2,0.00035566747225349135
сознание,52,0.009247354278590775
своего,449,0.0798473475209088
милого,6,0.001067002416760474
недостатка,4,0.0007113349445069827
от,1941,0.34517528182201335
которого,381,0.06775465346429009
хочет,83,0.01476020009851989
может,503,0.08945036927175307
находит,9,0.001600503625140711
нужным,23,0.00409017593091515
исправляться,2,0.00035566747225349135
середине,96,0.017072038668167585
разговора,67,0.01191486032049196
про,354,0.06295314258886796
политические,10,0.0017783373612674565
действия,52,0.009247354278590775
разгорячилась,2,0.00035566747225349135
ах,223,0.03965692315626428
австрию,5,0.0008891686806337283
понимаю,85,0.01511586757077338
австрия,5,0.0008891686806337283
никогда,327,0.05815163171344584
хотела,79,0.014048865154012906
предает,1,0.00017783373612674568
россия,28,0.0049793446115488785
одна,205,0.03645591590598286
должна,90,0.01600503625140711
спасительницей,1,0.00017783373612674568
европы,26,0.004623677139295387
наш,91,0.016182869987533856
благодетель,12,0.002134004833520948
знает,129,0.022940551960350188
свое,310,0.05512845819929115
высокое,9,0.001600503625140711
призвание,7,0.0012448361528872196
будет,532,0.09460754761942869
верен,4,0.0007113349445069827
ему,1906,0.33895110105757725
вот,690,0.1227052779274545
одно,282,0.05014911358774228
нашему,16,0.002845339778027931
доброму,4,0.0007113349445069827
чудному,1,0.00017783373612674568
государю,92,0.0163607037236606
предстоит,5,0.0008891686806337283
величайшая,3,0.000533501208380237
мире,77,0.013693197681759417
добродетелен,1,0.00017783373612674568
хорош,35,0.006224180764436098
бог,133,0.023651886904857172
оставит,6,0.001067002416760474
его,4280,0.7611283906224714
исполнит,4,0.0007113349445069827
задавить,1,0.00017783373612674568
гидру,1,0.00017783373612674568
революции,31,0.005512845819929116
которая,312,0.05548412567154465
теперь,980,0.17427706140421076
ужаснее,2,0.00035566747225349135
убийцы,1,0.00017783373612674568
злодея,6,0.001067002416760474
мы,660,0.11737026584365215
одни,74,0.013159696473379178
должны,113,0.02009521218232226
искупить,2,0.00035566747225349135
кровь,44,0.00782468438957681
праведника,1,0.00017783373612674568
кого,164,0.02916473272478629
надеяться,12,0.002134004833520948
спрашиваю,15,0.002667506041901185
англия,1,0.00017783373612674568
своим,312,0.05548412567154465
коммерческим,1,0.00017783373612674568
духом,13,0.0023118385696476937
поймет,10,0.0017783373612674565
понять,127,0.022584884488096698
всю,184,0.0327214074473212
высоту,8,0.0014226698890139654
души,67,0.01191486032049196
императора,120,0.02134004833520948
александра,87,0.015471535043026872
отказалась,5,0.0008891686806337283
очистить,8,0.0014226698890139654
мальту,1,0.00017783373612674568
ищет,7,0.0012448361528872196
заднюю,9,0.001600503625140711
мысль,116,0.020628713390702498
наших,65,0.011559192848238468
действий,22,0.003912342194788405
они,1026,0.18245741326604104
сказали,63,0.011203525375984976
новосильцову,1,0.00017783373612674568
поняли,15,0.002667506041901185
могут,67,0.01191486032049196
самоотвержения,5,0.0008891686806337283
нашего,53,0.00942518801471752
который,705,0.1253727839693557
блага,18,0.003201007250281422
обещали,9,0.001600503625140711
пруссия,4,0.0007113349445069827
уже,809,0.14386749252653724
объявила,6,0.001067002416760474
непобедим,1,0.00017783373612674568
вся,152,0.02703072789126534
европа,8,0.0014226698890139654
против,209,0.037167250850489844
него,999,0.1776559023906189
ни,968,0.1721430565706898
одном,70,0.012448361528872196
слове,25,0.004445843403168641
гарденбергу,1,0.00017783373612674568
гаугвицу,1,0.00017783373612674568
cette,46,0.0081803518618303
сжег,5,0.0008891686806337283
корабли,3,0.000533501208380237
тоже,246,0.04374709908717943
кажется,132,0.023474053168730427
готовы,19,0.0033788409864081675
сжечь,4,0.0007113349445069827
fameuse,2,0.00035566747225349135
neutralité,1,0.00017783373612674568
prussienne,1,0.00017783373612674568
ce,155,0.027564229099645576
est,322,0.05726246303281211
un,170,0.03023173514154676
piège,1,0.00017783373612674568
одного,236,0.04196876172591198
бога,76,0.01351536394563267
высокую,3,0.000533501208380237
судьбу,9,0.001600503625140711
спасет,4,0.0007113349445069827
европу,9,0.001600503625140711
вдруг,529,0.09407404641104845
остановилась,65,0.011559192848238468
улыбкой,252,0.044814101503939906
насмешки,16,0.002845339778027931
над,314,0.05583979314379814
своею,190,0.03378840986408167
горячностью,8,0.0014226698890139654
думаю,95,0.016894204932040836
улыбаясь,216,0.03841208700337706
послали,9,0.001600503625140711
вместо,2933,0.521586348059745
винценгероде,5,0.0008891686806337283
взяли,33,0.005868513292182607
приступом,1,0.00017783373612674568
согласие,16,0.002845339778027931
прусского,7,0.0012448361528872196
короля,25,0.004445843403168641
красноречивы,1,0.00017783373612674568
дадите,2,0.00035566747225349135
чаю,33,0.005868513292182607
сейчас,170,0.03023173514154676
propos,6,0.001067002416760474
прибавила,38,0.006757681972816335
опять,660,0.11737026584365215
успокоиваясь,5,0.0008891686806337283
интересные,2,0.00035566747225349135
человека,402,0.07148916192295175
vicomte,16,0.002845339778027931
mortemart,6,0.001067002416760474
il,225,0.04001259062851777
allié,2,0.00035566747225349135
aux,20,0.003556674722534913
montmorency,3,0.000533501208380237
rohans,3,0.000533501208380237
лучших,18,0.003201007250281422
фамилий,2,0.00035566747225349135
франции,45,0.008002518125703555
хороших,7,0.0012448361528872196
эмигрантов,1,0.00017783373612674568
настоящих,7,0.0012448361528872196
потом,320,0.05690679556055861
l,321,0.057084629296685355
abbé,2,0.00035566747225349135
morіo,1,0.00017783373612674568
этот,681,0.12110477430231378
глубокий,9,0.001600503625140711
ум,35,0.006224180764436098
принят,16,0.002845339778027931
государем,28,0.0049793446115488785
рад,73,0.012981862737252435
прибавил,123,0.021873549543589714
будто,548,0.09745288739745663
вспомнив,10,0.0017783373612674565
особенно,186,0.03307707491957469
небрежно,16,0.002845339778027931
о,2077,0.36936066993525074
чем,700,0.12448361528872197
спрашивал,76,0.01351536394563267
главною,4,0.0007113349445069827
целью,49,0.008713853070210536
посещения,12,0.002134004833520948
правда,96,0.017072038668167585
impératrice,4,0.0007113349445069827
mère4,1,0.00017783373612674568
желает,20,0.003556674722534913
назначения,10,0.0017783373612674565
барона,1,0.00017783373612674568
функе,3,0.000533501208380237
первым,20,0.003556674722534913
секретарем,4,0.0007113349445069827
вену,14,0.0024896723057744393
c,143,0.025430224266124627
sire,30,0.00533501208380237
baron,2,0.00035566747225349135
paraît,5,0.0008891686806337283
желал,73,0.012981862737252435
определить,10,0.0017783373612674565
сына,120,0.02134004833520948
место,143,0.025430224266124627
которое,398,0.07077782697844477
через,346,0.061530472699854004
императрицу,5,0.0008891686806337283
марию,2,0.00035566747225349135
феодоровну,1,0.00017783373612674568
старались,23,0.00409017593091515
доставить,7,0.0012448361528872196
барону,5,0.0008891686806337283
почти,190,0.03378840986408167
закрыла,14,0.0024896723057744393
глаза,462,0.08215918609055649
знак,36,0.006402014500562844
кто,458,0.08144785114604952
другой,419,0.07451233543710643
судить,28,0.0049793446115488785
угодно,32,0.005690679556055862
нравится,15,0.002667506041901185
императрице,6,0.001067002416760474
monsieur,21,0.003734508458661659
funke,1,0.00017783373612674568
été,40,0.007113349445069826
recommandé,1,0.00017783373612674568
mère,15,0.002667506041901185
sa,30,0.00533501208380237
soeur,5,0.0008891686806337283
6,197,0.035033246016968896
грустным,15,0.002667506041901185
сухим,6,0.001067002416760474
назвала,3,0.000533501208380237
лицо,555,0.09869772355034384
